row_id,heart_disease_mortality_per_100k
0,312
1,257
4,195
5,218
6,355
8,288
10,283
11,315
14,426
15,309
17,288
19,300
20,322
24,213
27,310
30,337
31,276
33,204
34,228
35,438
36,262
37,241
39,261
42,287
43,269
46,315
51,324
52,345
55,199
57,313
58,243
61,250
63,378
64,300
65,175
67,255
68,275
70,185
71,249
73,233
76,314
77,307
78,294
79,383
80,310
82,280
83,360
85,276
86,296
87,316
90,285
94,319
95,272
96,343
97,228
98,284
101,253
102,229
103,291
105,363
106,281
108,244
111,223
112,214
113,375
114,236
116,232
117,212
118,340
119,330
123,279
125,229
127,227
128,306
129,263
133,218
134,199
135,324
136,257
137,330
141,283
144,207
145,247
148,199
150,337
151,399
152,259
153,229
155,305
157,293
158,182
164,327
167,200
170,245
171,224
173,348
175,271
177,267
181,306
183,228
186,210
188,321
191,224
192,191
193,302
194,351
195,285
196,273
198,292
200,315
206,307
208,202
210,259
214,303
216,380
217,242
218,242
219,303
221,315
223,238
225,272
226,270
227,204
229,248
230,243
233,352
234,187
235,317
236,236
240,250
243,204
244,239
246,220
248,255
249,344
252,269
255,281
256,239
257,221
260,202
263,288
265,257
267,327
269,443
271,253
272,369
274,206
278,256
279,290
280,272
283,229
284,238
288,260
289,220
293,353
294,306
295,277
297,223
299,370
303,208
305,359
309,229
310,349
311,232
314,332
316,288
318,212
319,307
323,261
324,311
325,216
327,309
328,281
334,274
335,251
338,277
343,327
344,335
346,252
347,343
349,225
350,315
351,313
352,293
353,216
355,299
356,212
357,204
358,280
361,290
363,314
364,263
365,234
367,209
370,349
371,203
372,241
373,219
374,336
375,200
376,260
377,350
378,210
380,363
381,340
383,274
385,290
391,246
392,244
393,281
398,183
400,284
401,386
402,219
403,222
404,185
407,313
409,198
410,425
412,237
415,391
416,256
417,259
418,313
419,382
420,272
421,194
422,231
423,282
425,373
428,281
432,262
435,255
436,272
438,230
439,348
440,293
441,220
443,408
449,270
452,321
454,350
457,287
458,323
459,401
460,294
461,392
462,220
463,245
464,300
466,193
468,325
470,403
472,239
473,253
474,325
475,303
477,340
479,213
481,300
486,286
487,279
490,297
492,229
495,228
496,220
498,125
499,210
500,285
501,260
503,182
505,370
506,268
507,260
509,250
510,259
511,371
516,322
518,296
519,221
520,252
524,330
528,281
530,195
532,242
533,369
536,226
538,266
539,259
540,222
542,368
549,175
550,222
552,238
554,286
555,180
556,234
557,175
559,388
560,336
562,269
564,287
566,379
567,295
568,286
571,309
572,408
574,252
577,294
578,483
580,210
581,296
582,365
585,213
587,379
591,255
592,191
593,275
594,278
596,350
598,238
599,468
602,293
606,326
612,257
613,291
614,198
615,340
617,163
622,236
623,232
624,261
625,215
626,268
627,409
630,324
633,308
634,279
637,195
639,304
640,296
641,283
645,269
646,276
649,306
650,255
651,215
653,288
654,284
655,349
656,299
657,218
665,188
666,206
667,401
669,431
670,267
674,343
675,355
676,245
677,264
678,223
681,372
683,340
684,249
691,205
696,361
699,374
700,209
701,338
702,206
703,253
704,251
706,317
710,305
711,291
712,251
714,279
720,253
722,315
723,277
724,219
725,244
726,218
728,294
729,303
730,247
733,319
737,355
738,224
741,304
742,291
746,207
748,232
753,346
754,321
755,321
756,329
757,250
759,279
760,252
761,231
762,341
763,230
766,306
769,223
770,286
774,206
776,300
778,303
779,256
781,166
784,346
785,239
786,273
787,315
788,420
789,279
791,214
793,381
794,254
795,340
796,212
799,331
800,320
804,330
806,301
807,252
808,269
810,230
813,266
814,312
815,219
817,267
819,249
820,355
823,331
824,381
826,247
827,400
828,231
831,272
833,293
836,357
842,341
843,280
844,244
845,247
847,199
850,240
851,288
852,322
853,288
855,179
857,312
858,218
859,310
861,225
864,242
866,270
867,291
868,390
869,298
872,217
873,334
877,202
878,247
880,179
881,337
882,417
883,306
884,273
885,366
888,241
891,306
892,312
893,189
895,228
898,305
899,326
900,245
902,267
905,279
906,345
907,321
908,239
909,285
910,283
915,368
916,282
917,299
921,187
925,274
926,299
930,264
931,360
933,300
935,255
936,348
938,252
940,308
941,222
942,263
943,450
944,304
945,294
947,187
948,263
949,235
951,307
955,261
958,235
959,261
960,278
963,260
966,210
967,232
968,367
969,240
970,295
977,235
979,340
981,368
985,243
986,301
989,279
990,250
991,345
993,327
994,371
996,309
998,169
1001,410
1003,267
1005,308
1008,279
1009,267
1010,298
1011,251
1012,243
1015,260
1016,203
1019,259
1020,294
1023,264
1024,224
1025,222
1026,197
1029,255
1030,225
1031,259
1034,288
1037,243
1039,292
1040,444
1041,160
1043,292
1044,304
1045,245
1047,260
1050,342
1054,411
1055,288
1056,317
1058,279
1059,160
1061,193
1063,282
1068,269
1070,238
1071,342
1072,229
1076,319
1077,244
1078,344
1079,304
1082,240
1083,232
1085,241
1087,309
1089,256
1092,245
1093,328
1095,184
1098,290
1099,401
1101,341
1105,303
1106,365
1107,335
1109,202
1112,289
1114,244
1115,240
1116,343
1118,262
1123,288
1124,201
1125,195
1127,188
1128,309
1129,295
1130,305
1136,318
1138,256
1139,395
1140,189
1141,317
1144,258
1145,323
1147,227
1148,347
1150,313
1152,233
1153,353
1155,174
1156,225
1157,215
1158,235
1159,367
1161,208
1162,270
1163,251
1165,291
1166,285
1168,201
1169,234
1175,207
1177,285
1178,311
1179,363
1181,260
1183,239
1188,187
1191,324
1192,181
1194,220
1195,314
1197,234
1199,219
1200,250
1203,296
1204,240
1205,174
1207,196
1208,380
1210,245
1213,247
1214,262
1217,206
1220,332
1221,299
1222,267
1223,262
1224,265
1226,224
1228,379
1229,368
1230,280
1234,390
1240,262
1241,256
1244,259
1245,464
1248,288
1249,352
1250,350
1251,385
1255,307
1257,370
1258,226
1262,265
1263,280
1264,294
1265,363
1266,186
1267,318
1270,238
1273,204
1274,288
1275,255
1280,239
1283,293
1284,274
1286,274
1288,339
1289,237
1293,244
1294,209
1297,315
1298,243
1299,199
1300,257
1302,281
1308,280
1309,324
1310,238
1316,356
1317,293
1318,290
1319,215
1320,383
1322,416
1324,267
1326,372
1327,217
1331,275
1332,455
1335,215
1336,332
1337,226
1340,328
1342,304
1344,312
1346,387
1347,309
1348,379
1351,313
1353,300
1354,316
1355,209
1357,240
1358,223
1359,283
1360,260
1361,222
1362,253
1364,163
1366,353
1369,372
1373,267
1374,306
1379,252
1383,258
1385,238
1386,220
1387,249
1388,313
1390,323
1391,273
1394,335
1395,337
1396,363
1403,244
1405,330
1407,354
1408,256
1410,259
1413,318
1414,274
1417,253
1420,278
1421,211
1422,232
1424,304
1425,360
1426,234
1427,323
1428,267
1429,265
1430,398
1431,317
1432,263
1436,194
1437,282
1438,300
1440,215
1443,222
1444,331
1448,267
1449,306
1450,209
1452,292
1454,231
1455,262
1456,243
1457,356
1459,431
1460,351
1461,331
1463,359
1465,299
1466,301
1467,258
1469,194
1472,306
1474,276
1475,335
1478,220
1483,319
1484,353
1485,369
1487,307
1488,221
1492,305
1494,349
1495,265
1500,262
1501,255
1504,327
1505,347
1509,210
1511,288
1512,222
1516,278
1517,423
1519,370
1520,288
1521,226
1523,254
1524,258
1525,242
1527,306
1532,235
1533,196
1536,250
1541,303
1542,286
1544,363
1545,322
1546,253
1547,323
1550,392
1552,409
1553,226
1554,387
1555,303
1556,320
1558,238
1559,266
1560,280
1563,224
1565,421
1568,204
1569,285
1571,277
1572,184
1574,278
1580,259
1581,354
1582,310
1584,293
1585,198
1586,352
1587,270
1589,254
1590,249
1591,206
1593,192
1594,313
1595,232
1596,225
1597,252
1598,375
1600,226
1601,324
1608,341
1610,275
1611,323
1613,232
1620,366
1625,350
1629,234
1630,417
1631,203
1632,232
1638,207
1639,247
1640,315
1641,220
1642,187
1643,289
1646,246
1648,290
1649,235
1655,265
1658,275
1660,246
1666,355
1667,378
1676,278
1677,347
1678,304
1682,253
1684,289
1685,244
1686,340
1687,395
1689,234
1690,335
1691,304
1694,362
1695,211
1696,323
1700,269
1705,297
1708,276
1711,321
1712,224
1715,289
1720,253
1724,215
1729,290
1730,307
1731,343
1732,239
1737,233
1738,306
1740,267
1741,272
1742,149
1746,309
1747,385
1748,278
1751,252
1752,189
1753,304
1756,230
1760,340
1763,328
1768,250
1771,330
1772,291
1773,193
1774,306
1776,232
1777,344
1778,323
1779,298
1780,315
1781,225
1783,249
1785,277
1787,236
